"driver_id","week","transport_type","tenure","deliveries_invoiced","e2e_invoiced","client_price_invoiced","driver_earnings_invoiced","deliveries_not_invoiced","e2e_not_invoiced","distance_to_pu_invoiced","distance_to_do_invoiced","deliveries_succeeded","e2e_succeeded","client_price_succeeded","driver_earnings_succeeded","distance_to_pu_succeeded","distance_to_do_succeeded","performance_deliveries","picking_time","wapu","delivering_time","wado","distance_to_pu","distance_to_do","assigned_hours","online_hours","extra_time","no_laborable_retribuido","no_disponible","assigned_shifts","is_in_area_begin","no_shows","invitations","non_commit","lack_equipment","late_unresponsive","refused_delivery","equipment_failure"
589766,9.0,bike,80,41,69935,217.43000000000004,0.0,0,0,51761,59525,40,67430,212.48000000000005,0.0,49810,57581,41,19791,13436,20141,17278,51761,59525,30.00,23.36,0.06,0.00,0.00,10,7,2,39,0,,,,
589766,10.0,bike,80,42,73575,215.61,0.0,5,6434,59931,62418,37,66070,193.10999999999999,0.0,54073,53606,37,21920,9197,21386,14546,54073,53606,30.00,25.10,0.11,0.00,0.00,10,9,1,44,2,,,,3
589907,2.0,bike,80,28,51172,151.55,0.0,0,0,40516,53352,28,51172,151.55,0.0,40516,53352,28,16510,4221,23138,8304,40516,53352,24.00,23.23,0.32,0.00,0.00,8,8,0,27,0,,,,
589907,3.0,bike,80,41,76716,224.26000000000002,0.0,3,2231,50965,74971,41,76716,224.26000000000002,0.0,50965,74971,41,25300,5811,32986,13401,50965,74971,30.00,29.96,2.02,0.00,0.00,10,10,0,42,2,,1,1,
589907,4.0,bike,80,32,63926,166.3,0.0,0,0,44622,48151,31,60364,161.35,0.0,42648,45984,31,23919,6566,22853,8463,42455,45983,30.25,29.91,0.92,0.00,0.00,11,6,1,31,0,,,,
589907,5.0,bike,80,37,74236,203.04999999999998,0.0,1,332,50459,59260,36,70675,196.79999999999998,0.0,48395,56942,36,26473,6191,28326,11621,49871,57217,30.00,29.94,1.03,0.00,0.00,10,9,0,36,0,,,,
589907,6.0,bike,80,22,48276,121.87,0.0,1,212,36140,36324,21,45836,116.32000000000001,0.0,35401,35094,21,20058,6531,14117,5753,35401,35094,24.00,24.81,0.40,6.00,0.00,8,8,1,22,1,,,1,
589907,7.0,bike,80,27,57548,150.7,0.0,1,605,40124,37440,27,57548,150.7,0.0,40124,37440,27,23476,5695,20335,8102,40124,37440,30.00,29.94,0.95,0.00,0.00,10,10,0,26,1,,,1,
589907,8.0,bike,80,30,66942,166.1,0.0,1,639,52690,45813,30,66942,166.1,0.0,52690,45813,30,24189,11951,20260,10542,52690,45813,30.00,29.96,1.28,0.00,0.00,10,10,0,31,1,,1,,
589907,9.0,bike,80,40,70766,226.3,0.0,1,2231,52534,59493,33,55079,188.29999999999998,0.0,39312,48161,34,17173,9870,19665,11938,41480,49840,30.25,27.03,0.89,0.00,0.00,11,7,1,33,0,,,,
