"driver_id","delivery_id","zone_name","date","del_cancelation_reason","del_accepted_at","del_canceled_at"
457699,307130815,Barcelona,2024-01-16,Refused delivery,2024-01-16 21:32:47.832,2024-01-16 22:01:43.81
457699,307654307,Barcelona,2024-01-20,Refused delivery,2024-01-20 23:10:34.854,2024-01-20 23:15:18.954
457699,307848062,Barcelona,2024-01-22,Late / Unresponsive,2024-01-22 21:52:57.851,2024-01-22 22:19:53.364
457699,307888315,Barcelona,2024-01-23,Late / Unresponsive,2024-01-23 13:39:58.967,2024-01-23 14:00:52.417
457699,308353699,Barcelona,2024-01-27,Refused delivery,2024-01-27 13:58:04.494,2024-01-27 13:59:01.015
457699,308477981,Barcelona,2024-01-28,Late / Unresponsive,2024-01-28 13:34:27.181,2024-01-28 13:58:40.625
457699,308747880,Barcelona,2024-01-30,Late / Unresponsive,2024-01-30 21:49:03.536,2024-01-30 22:12:23.629
457699,309102861,Barcelona,2024-02-02,Late / Unresponsive,2024-02-02 21:58:50.652,2024-02-02 22:20:30.766
457699,309383283,Barcelona,2024-02-05,Late / Unresponsive,2024-02-05 11:52:00.344,2024-02-05 11:57:56.031
457699,309843826,Barcelona,2024-02-09,Refused delivery,2024-02-09 13:41:03.51,2024-02-09 14:09:23.545
457699,310116048,Barcelona,2024-02-11,Refused delivery,2024-02-11 13:42:23.709,2024-02-11 14:11:05.935
457699,310335997,Barcelona,2024-02-13,Late / Unresponsive,2024-02-13 13:21:07.818,2024-02-13 13:54:22.259
457699,310400477,Barcelona,2024-02-13,Late / Unresponsive,2024-02-13 21:31:07.873,2024-02-13 21:50:19.983
457699,310877740,Barcelona,2024-02-17,Refused delivery,2024-02-17 23:11:56.782,2024-02-17 23:13:44.396
457699,310907898,Barcelona,2024-02-18,Refused delivery,2024-02-18 13:44:36.813,2024-02-18 13:59:26.577
457699,311472024,Barcelona,2024-02-23,Refused delivery,2024-02-23 21:22:42.856,2024-02-23 21:25:48.254
457699,311523656,Barcelona,2024-02-24,Refused delivery,2024-02-24 13:56:02.636,2024-02-24 13:57:22.677
457699,311608203,Barcelona,2024-02-24,Refused delivery,2024-02-24 22:31:43.656,2024-02-24 23:25:36.41
457699,312501273,Barcelona,2024-03-04,Refused delivery,2024-03-04 13:04:57.339,2024-03-04 13:12:59.528
457699,312972692,Barcelona,2024-03-09,Refused delivery,2024-03-09 11:04:37.761,2024-03-09 11:05:39.587
457699,313058740,Barcelona,2024-03-09,Refused delivery,2024-03-09 20:27:05.758,2024-03-09 20:27:59.823
457710,311678808,Barcelona,2024-02-25,Late / Unresponsive,2024-02-25 18:30:01.641,2024-02-25 18:52:48.357
461206,306864738,Madrid,2024-01-14,Late / Unresponsive,2024-01-14 13:20:29.854,2024-01-14 13:34:26.475
461206,306879873,Madrid,2024-01-14,Equipment failure,2024-01-14 15:17:52.531,2024-01-14 15:32:30.391
461206,307239768,Madrid,2024-01-17,Late / Unresponsive,2024-01-17 20:53:09.453,2024-01-17 21:13:29.796
