Timestamp,ID Pedido,Justificado,Como se ha justificado
2/28/2024 15:22:45,311536798,SI,Explicación
2/28/2024 15:32:47,311744561,SI,foto
2/28/2024 15:33:24,311745252,SI,explicación
2/28/2024 15:33:59,311745251,SI,explicación
2/28/2024 15:36:29,311762129,SI,Fin de turno.
2/28/2024 15:44:51,311610642,SI,foto
2/29/2024 11:23:56,305364560,SI,Cerca del final de su horario
2/29/2024 11:27:03,305797306,SI,Pedido lejos
2/29/2024 11:29:28,305800291,SI,Paquete grande
2/29/2024 11:37:50,Barcelona,NO,
2/29/2024 11:38:19,305821271,NO,
2/29/2024 11:40:56,305891697,NO,
2/29/2024 11:45:30,306268063,NO,
2/29/2024 11:57:02,305890305,SI,Km excesivo
2/29/2024 11:58:21,305890306,SI,Km excesivo
2/29/2024 12:16:16,309005555,NO,
2/29/2024 12:56:30,311810914,SI,Accidente
2/29/2024 12:56:47,311810913,SI,Accidente
3/1/2024 11:22:03,311902130,NO,
3/1/2024 12:09:22,311892121,SI,explicación
3/6/2024 11:24:09,311805655,NO,
3/6/2024 11:45:45,310501120,NO,
3/6/2024 12:07:41,310977835,SI,Mostró la rueda pinchada.
3/6/2024 12:14:08,305781520,SI,Mostró la bicicleta pinchada.
3/6/2024 12:16:37,305827403,SI,Era muy largo el trayecto
3/6/2024 12:17:39,305448651,NO,
3/6/2024 12:21:38,306116487,NO,
3/6/2024 12:32:41,306151847,NO,
3/6/2024 12:34:01,312270427,NO,
3/6/2024 12:35:28,312267534,NO,
3/6/2024 12:36:18,306152337,NO,
3/6/2024 12:38:10,306154355,NO,
3/6/2024 12:38:16,312269545,NO,
3/6/2024 12:40:07,312166871,NO,
3/6/2024 12:40:16,306287959,NO,
3/6/2024 12:44:39,307210499,SI,pedido muy lejos
3/6/2024 12:46:38,312499105,NO,
3/6/2024 12:47:28,312051334,SI,Pedido muy lejos
3/6/2024 12:49:45,312052449,SI,Esta muy lejos
3/6/2024 12:52:05,311447717,NO,
3/6/2024 12:53:14,311844630,NO,
3/6/2024 12:54:33,311845025,NO,
3/6/2024 12:55:34,312470566,NO,
3/6/2024 12:55:38,312186307,NO,
3/6/2024 13:00:52,310419608,SI,Muy largo
3/6/2024 13:04:35,310419606,NO,
3/6/2024 13:09:17,310419607,SI,Pedido largo
